16:40:52 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[{"update_id":439431057,\n"message":{"message_id":216,"from":{"id":965665251,"is_bot":false,"first_name":"\\u0430\\u0440\\u043a\\u0430\\u0448\\u0430","last_name":"\\u043b\\u043e\\u0442\\u043e\\u0432","language_code":"ru"},"chat":{"id":965665251,"first_name":"\\u0430\\u0440\\u043a\\u0430\\u0448\\u0430","last_name":"\\u043b\\u043e\\u0442\\u043e\\u0432","type":"private"},"date":1657719652,"text":"\\\\ start"}}]}'"
16:40:52 | DEBUG | start_polling: 395 | Received 1 updates.
16:40:52 | DEBUG | make_request: 133 | Make request: "sendMessage" with data: "{'chat_id': 965665251, 'text': 'пиши целое число'}" and files "None"
16:40:52 | DEBUG | check_result: 95 | Response for sendMessage: [200] "'{"ok":true,"result":{"message_id":217,"from":{"id":5435708975,"is_bot":true,"first_name":"popovtest","username":"popov_test_bot"},"chat":{"id":965665251,"first_name":"\\u0430\\u0440\\u043a\\u0430\\u0448\\u0430","last_name":"\\u043b\\u043e\\u0442\\u043e\\u0432","type":"private"},"date":1657719652,"text":"\\u043f\\u0438\\u0448\\u0438 \\u0446\\u0435\\u043b\\u043e\\u0435 \\u0447\\u0438\\u0441\\u043b\\u043e"}}'"
16:40:52 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 439431058, 'timeout': 20}" and files "None"
16:41:04 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[{"update_id":439431058,\n"message":{"message_id":218,"from":{"id":965665251,"is_bot":false,"first_name":"\\u0430\\u0440\\u043a\\u0430\\u0448\\u0430","last_name":"\\u043b\\u043e\\u0442\\u043e\\u0432","language_code":"ru"},"chat":{"id":965665251,"first_name":"\\u0430\\u0440\\u043a\\u0430\\u0448\\u0430","last_name":"\\u043b\\u043e\\u0442\\u043e\\u0432","type":"private"},"date":1657719664,"text":"23"}}]}'"
16:41:04 | DEBUG | start_polling: 395 | Received 1 updates.
16:41:04 | DEBUG | make_request: 133 | Make request: "sendMessage" with data: "{'chat_id': 965665251, 'text': 'Твоё число меньше загаданного.\nПопробуй ещё раз'}" and files "None"
16:41:05 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 439431059, 'timeout': 20}" and files "None"
16:41:05 | DEBUG | check_result: 95 | Response for sendMessage: [200] "'{"ok":true,"result":{"message_id":219,"from":{"id":5435708975,"is_bot":true,"first_name":"popovtest","username":"popov_test_bot"},"chat":{"id":965665251,"first_name":"\\u0430\\u0440\\u043a\\u0430\\u0448\\u0430","last_name":"\\u043b\\u043e\\u0442\\u043e\\u0432","type":"private"},"date":1657719664,"text":"\\u0422\\u0432\\u043e\\u0451 \\u0447\\u0438\\u0441\\u043b\\u043e \\u043c\\u0435\\u043d\\u044c\\u0448\\u0435 \\u0437\\u0430\\u0433\\u0430\\u0434\\u0430\\u043d\\u043d\\u043e\\u0433\\u043e.\\n\\u041f\\u043e\\u043f\\u0440\\u043e\\u0431\\u0443\\u0439 \\u0435\\u0449\\u0451 \\u0440\\u0430\\u0437"}}'"
16:41:25 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
16:41:25 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 439431059, 'timeout': 20}" and files "None"
16:41:45 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
16:41:45 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 439431059, 'timeout': 20}" and files "None"
16:42:05 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
16:42:05 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 439431059, 'timeout': 20}" and files "None"
16:42:25 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
16:42:25 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 439431059, 'timeout': 20}" and files "None"
16:42:46 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
16:42:46 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 439431059, 'timeout': 20}" and files "None"
16:43:06 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
16:43:06 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 439431059, 'timeout': 20}" and files "None"
16:43:26 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
16:43:26 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 439431059, 'timeout': 20}" and files "None"
16:43:46 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
16:43:46 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 439431059, 'timeout': 20}" and files "None"
16:44:06 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
16:44:06 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 439431059, 'timeout': 20}" and files "None"
16:44:27 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
16:44:27 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 439431059, 'timeout': 20}" and files "None"
16:44:47 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
16:44:47 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 439431059, 'timeout': 20}" and files "None"
16:45:07 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
16:45:07 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 439431059, 'timeout': 20}" and files "None"
16:45:27 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
16:45:27 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 439431059, 'timeout': 20}" and files "None"
16:45:47 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
16:45:48 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 439431059, 'timeout': 20}" and files "None"
16:46:08 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
