14:55:01 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
14:55:01 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 439431200, 'timeout': 20}" and files "None"
14:55:12 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[{"update_id":439431200,\n"message":{"message_id":489,"from":{"id":976896597,"is_bot":false,"first_name":"Sasha","last_name":"Borisenko","language_code":"ru"},"chat":{"id":976896597,"first_name":"Sasha","last_name":"Borisenko","type":"private"},"date":1657799713,"text":"/start","entities":[{"offset":0,"length":6,"type":"bot_command"}]}}]}'"
14:55:12 | DEBUG | start_polling: 395 | Received 1 updates.
14:55:12 | DEBUG | make_request: 133 | Make request: "sendMessage" with data: "{'chat_id': 976896597, 'text': 'привет Sasha,я бот который отправит тебеа  твоё же сообщение', 'reply_markup': '{"keyboard": [[{"text": "пожелание доброго утра"}], [{"text": "пожелание доброй ночи"}]]}'}" and files "None"
14:55:12 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 439431201, 'timeout': 20}" and files "None"
14:55:12 | DEBUG | check_result: 95 | Response for sendMessage: [200] "'{"ok":true,"result":{"message_id":490,"from":{"id":5435708975,"is_bot":true,"first_name":"popovtest","username":"popov_test_bot"},"chat":{"id":976896597,"first_name":"Sasha","last_name":"Borisenko","type":"private"},"date":1657799713,"text":"\\u043f\\u0440\\u0438\\u0432\\u0435\\u0442 Sasha,\\u044f \\u0431\\u043e\\u0442 \\u043a\\u043e\\u0442\\u043e\\u0440\\u044b\\u0439 \\u043e\\u0442\\u043f\\u0440\\u0430\\u0432\\u0438\\u0442 \\u0442\\u0435\\u0431\\u0435\\u0430  \\u0442\\u0432\\u043e\\u0451 \\u0436\\u0435 \\u0441\\u043e\\u043e\\u0431\\u0449\\u0435\\u043d\\u0438\\u0435"}}'"
14:55:12 | DEBUG | make_request: 133 | Make request: "sendMessage" with data: "{'chat_id': 976896597, 'text': 'можешь узнать дату'}" and files "None"
14:55:13 | DEBUG | check_result: 95 | Response for sendMessage: [200] "'{"ok":true,"result":{"message_id":491,"from":{"id":5435708975,"is_bot":true,"first_name":"popovtest","username":"popov_test_bot"},"chat":{"id":976896597,"first_name":"Sasha","last_name":"Borisenko","type":"private"},"date":1657799713,"text":"\\u043c\\u043e\\u0436\\u0435\\u0448\\u044c \\u0443\\u0437\\u043d\\u0430\\u0442\\u044c \\u0434\\u0430\\u0442\\u0443"}}'"
14:55:14 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[{"update_id":439431201,\n"message":{"message_id":492,"from":{"id":976896597,"is_bot":false,"first_name":"Sasha","last_name":"Borisenko","language_code":"ru"},"chat":{"id":976896597,"first_name":"Sasha","last_name":"Borisenko","type":"private"},"date":1657799714,"text":"\\u043f\\u043e\\u0436\\u0435\\u043b\\u0430\\u043d\\u0438\\u0435 \\u0434\\u043e\\u0431\\u0440\\u043e\\u0433\\u043e \\u0443\\u0442\\u0440\\u0430"}}]}'"
